trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-79.3079012690123,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-167.25134478810918,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,4,-41.71483176790865,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",30,0,-27.908359882594734,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,0,-12.363838403096235,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,5,-49.84812997834713,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-38.21168475961276,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,1,-13.84376288079856,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-47.57161365866672,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",30,0,-43.343015360150844,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-65.86922487280405,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,3,-154.41094639695382,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 3}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,0,-106.72500480872475,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-66.41624153605434,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,0,-47.95763363346047,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,7,-12.22008152431647,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,0,-54.260371020722175,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-95.70367550239308,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-41.484066993216594,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-108.00740344812796,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-64.18308231994031,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,8,16.0090042570891,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,11,8.10775247354011,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-84.71097315961218,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,8,-20.853398991700775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,6,-8.658466527837444,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,12,0.45804826738421967,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,1,16.50845562589332,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,0,-15.58223137692228,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,19,-2.00363122694007,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,12,13.443118775813053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,0,-13.708706552526902,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,18,-2.427240706088541,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,8,-17.774508005917774,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-7.448962298294206,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,9,-37.62316614024421,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,0,-38.93343798675214,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,0,-56.63715992916945,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,-21.67308956969243,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",30,12,5.920016533908234,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,12,-6.8909270134660705,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,20,9.124704014725754,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",30,15,-19.512921124183542,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,13,-22.319789965171758,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,0,-66.01588490084482,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",30,10,-6.7630236211666785,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,0,-31.399193479141264,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
